,ID,DateTime,UserID,UserAction
1,636826,2020-03-12 14:13:14.383,5,Login
5,636830,2020-03-12 14:13:26.530,5,Open User Page
6,636831,2020-03-12 14:13:26.530,5,Open Role Page
8,636833,2020-03-12 14:13:27.853,5,Open Role Page
9,636834,2020-03-12 14:13:46.120,5,Create Role
13,636840,2020-03-12 14:14:13.940,5,Open Role Page
14,636841,2020-03-12 14:14:33.927,5,Create User
15,636847,2020-03-12 14:15:18.607,5,Save User
16,636848,2020-03-12 14:15:22.983,5,Logout
19,636855,2020-03-12 14:15:42.713,5,Login
20,636856,2020-03-12 14:15:42.713,5,Login
25,636861,2020-03-12 14:15:44.113,5,Open Role Page
26,636862,2020-03-12 14:15:51.300,5,Save User
27,636863,2020-03-12 14:15:53.310,5,Logout
30,636875,2020-03-12 14:16:14.827,5,Login
31,636876,2020-03-12 14:16:14.827,5,Login
39,636884,2020-03-12 14:16:20.943,5,Open KTO Settings Page
45,636890,2020-03-12 14:16:23.620,5,Open User Page
46,636891,2020-03-12 14:16:23.620,5,Open Role Page
48,636893,2020-03-12 14:16:25.437,5,Open Role Page
49,636894,2020-03-12 14:16:49.650,5,Update Role
50,636909,2020-03-12 14:17:24.950,5,Update Role
51,636941,2020-03-12 14:17:54.543,5,Update Role
55,636955,2020-03-12 14:18:07.963,5,Open Role Page
57,636959,2020-03-12 14:28:42.800,5,Login
69,636971,2020-03-12 14:28:45.547,5,Open Waypoint Page
70,636972,2020-03-12 14:28:51.353,5,Open Criteria Page
88,636990,2020-03-12 14:28:56.450,5,Open PhaseWaypoint Page
90,636992,2020-03-12 14:28:56.450,5,Open PhaseWaypoint Page
91,636993,2020-03-12 14:28:56.450,5,Open PhaseWaypoint Page
93,636995,2020-03-12 14:28:56.763,5,Open Notification Page
97,637003,2020-03-12 14:32:55.993,5,Login
99,637005,2020-03-12 14:33:44.707,5,Login
100,637006,2020-03-12 14:33:46.147,5,Logout
104,637011,2020-03-12 14:33:49.233,5,Open Role Page
105,637012,2020-03-12 14:33:49.233,5,Open User Page
106,637013,2020-03-12 14:33:59.713,5,Save User
108,637015,2020-03-12 14:34:00.903,5,Open Role Page
109,637016,2020-03-12 14:34:15.670,5,Update Role
110,637034,2020-03-12 14:34:31.797,5,Update Role
111,637051,2020-03-12 14:34:50.257,5,Update Role
112,637058,2020-03-12 14:35:06.497,5,Update Role
113,637077,2020-03-12 14:35:24.253,5,Update Role
114,637100,2020-03-12 14:36:01.033,5,Update Role
115,637138,2020-03-12 14:36:27.573,5,Update Role
116,637184,2020-03-12 14:36:56.037,5,Update Role
117,637221,2020-03-12 14:37:24.457,5,Update Role
118,637258,2020-03-12 14:37:52.497,5,Update Role
119,637296,2020-03-12 14:40:49.737,5,Update Role
120,637333,2020-03-12 14:41:16.527,5,Update Role
121,637334,2020-03-12 14:41:20.053,5,Update Role
122,637371,2020-03-12 14:41:47.037,5,Update Role
